BATCH DK daylight variants DK-01-193 through DK-01-208
Date: 2026-09-26
Country: Denmark
Scenes selected: 0. Variant masters: 0.
Skips: 16. Every ID DK-01-193 through DK-01-208 is a daylight-only scene (approved afternoon master pair). None has a night 16:9 and 4:5 master pair. None already had a *-daylight-* file. No daylight variant was written for a daylight-only scene.
DK-209+ left untouched. Other countries untouched.
Parent tip at batch start: 342877f1ed405b784322cddc2c4280e3cf50cd39
Fast-forwarded onto origin/main before work: 342877f1ed405b784322cddc2c4280e3cf50cd39 (includes overlay-cleanup c75f4ea: format tabs and daylight toggle below the image, and conditional 9:16 gallery logic from 4aa6224). That gallery logic was preserved and not rewritten. Daylight button logic in index.html was not edited. No gallery record gained file_16x9_day or file_4x5_day. No manifest was edited. Weather and Open-Meteo fields were not rewritten.
Existing masters: byte-unchanged. SHA-256 recorded before the report and again after. Pre and post are identical for every 16:9 and 4:5 file in this range. These files are the approved afternoon masters, not night masters, so they were not used as daylight-variant sources and were not regenerated.
Qualification: a scene qualifies only with a night 16:9 and 4:5 master pair and no existing *-daylight-* file. Each scene below fails that test because both masters are the afternoon daylight interpretation (scenario 25 September 2026 · 14:32 or 14:33 Europe/Copenhagen; Cosmo QC marked Afternoon or Daylight). Sky luminance on both masters is in the daylight range, consistent with the prior night masters (for example DK-01-001 and DK-01-209) being much darker and with DK-01-177's night sky being darker than its daylight variant.

DK-01-193  Christiansminde, Svendborg
  skip reason  daylight-only. Approved afternoon master pair. No night master pair. No *-daylight-* file.
  qc            Approved · Cosmo QC 5/5 · Afternoon
  scenario      25 September 2026 · 14:32 Europe/Copenhagen
  master 16x9  library/world/Denmark/Svendborg/dk-01-193-16x9.png
    sha256 before  4fe1dc78f32a9fc86273fa4455c7d40db1947dc3e740d2177578531e3b871605
    sha256 after   4fe1dc78f32a9fc86273fa4455c7d40db1947dc3e740d2177578531e3b871605
    master         IDENTICAL
  master 4x5  library/world/Denmark/Svendborg/dk-01-193-4x5.png
    sha256 before  b25fca5c46ab42d5a2da974709deb40c50ede7d6292fff57c79acc1a6c288c9f
    sha256 after   b25fca5c46ab42d5a2da974709deb40c50ede7d6292fff57c79acc1a6c288c9f
    master         IDENTICAL

DK-01-194  Horne Church, Horne
  skip reason  daylight-only. Approved afternoon master pair. No night master pair. No *-daylight-* file.
  qc            Approved · Cosmo QC 5/5 · Afternoon
  scenario      25 September 2026 · 14:32 Europe/Copenhagen
  master 16x9  library/world/Denmark/Horne/dk-01-194-16x9.png
    sha256 before  094280bd1f247cca6d19132465037d4ebf5bb7bf66882c110ca40b612556152f
    sha256 after   094280bd1f247cca6d19132465037d4ebf5bb7bf66882c110ca40b612556152f
    master         IDENTICAL
  master 4x5  library/world/Denmark/Horne/dk-01-194-4x5.png
    sha256 before  b83feb14c76b3426605755f55d6b0deae0324b95db4193b7b4f3bc48fba3b63b
    sha256 after   b83feb14c76b3426605755f55d6b0deae0324b95db4193b7b4f3bc48fba3b63b
    master         IDENTICAL

DK-01-195  Vor Frue, Assens
  skip reason  daylight-only. Approved afternoon master pair. No night master pair. No *-daylight-* file.
  qc            Approved · Cosmo QC 5/5 · Afternoon
  scenario      25 September 2026 · 14:32 Europe/Copenhagen
